step,state_key,prediction,num_samples,sampler,sample_steps,cfg,interval_min,interval_max,noise_scale,fid50k,is_mean,is_std
50000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,75.4882522701161,20.463794203642358,0.22363433498541338
100000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,31.99229490201475,51.85357568729813,1.0608404674552163
150000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,21.34134918638557,75.10109483917358,2.0605608914408595
200000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,16.754071451474147,91.75239757589065,0.9574855748217326
250000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,14.303740959655102,104.53221559278668,1.644187634874103
300000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,12.519366174207164,114.41640912342693,1.7838436159004376
350000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,11.31112898606807,122.8044894137523,2.038632593747864
400000,ema,velocity,50000,heun,50,2.9,0.1,1.0,1.0,10.628115328451429,127.59356738717295,2.173737027470563
