step,model_alias,fd,real_count,fake_count,num_shards
50000,dinov2_giant_reg,1369.4094572849508,50000,50000,4
50000,siglip2_giant_opt,204.7534858958973,50000,50000,4
100000,dinov2_giant_reg,1072.8326832171415,50000,50000,4
100000,siglip2_giant_opt,167.18464669940948,50000,50000,3
150000,dinov2_giant_reg,907.9964460569959,50000,50000,4
150000,siglip2_giant_opt,153.74480395248497,50000,50000,3
200000,dinov2_giant_reg,805.7023836474914,50000,50000,4
200000,siglip2_giant_opt,146.14727465985754,50000,50000,3
250000,siglip2_giant_opt,141.13759531153852,50000,50000,2
