step,fid50k,is_mean,is_std,dinov2_giant_reg_fd,siglip2_giant_opt_fd,sample_steps,cfg,state_key
50000,75.4882522701161,20.463794203642358,0.22363433498541338,1369.4094572849508,204.7534858958973,50,2.9,ema
100000,31.99229490201475,51.85357568729813,1.0608404674552163,1072.8326832171415,167.18464669940948,50,2.9,ema
150000,21.34134918638557,75.10109483917358,2.0605608914408595,907.9964460569959,153.74480395248497,50,2.9,ema
200000,16.754071451474147,91.75239757589065,0.9574855748217326,805.7023836474914,146.14727465985754,50,2.9,ema
250000,14.303740959655102,104.53221559278668,1.644187634874103,,141.13759531153852,50,2.9,ema
300000,12.519366174207164,114.41640912342693,1.7838436159004376,,,50,2.9,ema
350000,11.31112898606807,122.8044894137523,2.038632593747864,,,50,2.9,ema
400000,10.628115328451429,127.59356738717295,2.173737027470563,,,50,2.9,ema
